transaction_key,transaction_id,transaction_date,transaction_timestamp,customer_key,location_key,channel,fulfillment_type,subtotal,tax_amount,discount_amount,delivery_fee,total_amount,item_count,total_quantity,payment_method,transaction_status,source_system,created_timestamp
FT_POS_000000,TRX100000,2025-10-02,2025-10-02 20:29:40.772849,,LK_ST007,IN_STORE,IMMEDIATE,292.5,29.25,0.0,0.0,321.75,4,5,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000001,TRX100001,2025-09-25,2025-09-25 21:59:40.772885,,LK_ST020,IN_STORE,IMMEDIATE,150.98,15.1,0.0,0.0,166.08,1,2,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000002,TRX100002,2025-09-19,2025-09-19 13:11:40.772905,,LK_ST015,IN_STORE,IMMEDIATE,331.88,33.19,0.0,0.0,365.07,4,4,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000003,TRX100003,2025-09-24,2025-09-24 09:40:40.772922,,LK_ST011,IN_STORE,IMMEDIATE,92.06,9.21,0.0,0.0,101.27,2,2,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000004,TRX100004,2025-09-21,2025-09-21 21:26:40.772938,,LK_ST008,IN_STORE,IMMEDIATE,143.36,14.34,0.0,0.0,157.7,2,4,VOUCHER,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000005,TRX100005,2025-09-23,2025-09-23 17:18:40.772954,,LK_ST021,IN_STORE,IMMEDIATE,121.6,12.16,0.0,0.0,133.76,6,8,CARD,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000006,TRX100006,2025-10-14,2025-10-14 21:02:40.772970,,LK_ST007,IN_STORE,IMMEDIATE,82.8,8.28,0.0,0.0,91.08,6,6,CARD,VOID,POS,2025-10-17 11:24:40.861801
FT_POS_000007,TRX100007,2025-10-04,2025-10-04 00:38:40.772986,,LK_ST019,IN_STORE,IMMEDIATE,51.25,4.61,5.12,0.0,50.74,5,5,PAYWAVE,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000008,TRX100008,2025-09-19,2025-09-19 23:07:40.773001,,LK_ST023,IN_STORE,IMMEDIATE,132.03,13.2,0.0,0.0,145.23,3,3,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000009,TRX100009,2025-09-22,2025-09-22 05:50:40.773017,,LK_ST011,IN_STORE,IMMEDIATE,163.44,15.53,8.17,0.0,170.8,5,6,CASH,COMPLETED,POS,2025-10-17 11:24:40.861801
FT_POS_000010,TRX100010,2025-09-28,2025-09-28 21:00:40.773069,,LK_ST011,IN_STORE,IMMEDIATE,90.8,9.08,0.0,0.0,99.88,4,5,PAYWAVE,RETURN,POS,2025-10-17 11:24:40.861801
FT_POS_000011,TRX100011,2025-09-25,2025-09-25 06:57:40.773087,,LK_ST024,IN_STORE,IMMEDIATE,125.46,12.55,0.0,0.0,138.01,5,6,CASH,RETURN,POS,2025-10-17 11:24:40.861801
